model,scenario,n_cav,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,label
Game (Ours),1200pcu/h,120,65,160.07,1.05,38,0,9,1200pcu/h
Game (Ours),2000pcu/h,200,109,161.24,2.49,81,0,17,2000pcu/h
Game (Ours),2800pcu/h,280,149,162.58,4.11,106,0,22,2800pcu/h
Game (Ours),3600pcu/h,360,192,165.81,7.19,138,0,27,3600pcu/h
SUMO Default,1200pcu/h,120,36,169.96,11.4,0,0,19,1200pcu/h
SUMO Default,2000pcu/h,200,25,162.12,3.18,0,0,62,2000pcu/h
SUMO Default,2800pcu/h,280,38,176.29,18.02,0,0,72,2800pcu/h
SUMO Default,3600pcu/h,360,60,175.2,15.85,0,0,89,3600pcu/h
Rule-Based,1200pcu/h,120,36,146.07,2.21,75,12,8,1200pcu/h
Rule-Based,2000pcu/h,200,110,163.12,11.93,142,0,12,2000pcu/h
Rule-Based,2800pcu/h,280,134,135.1,6.34,217,4,16,2800pcu/h
Rule-Based,3600pcu/h,360,89,156.44,6.58,411,6,27,3600pcu/h
No-V2X,1200pcu/h,120,65,160.16,1.14,33,0,11,1200pcu/h
No-V2X,2000pcu/h,200,109,160.97,2.22,68,0,18,2000pcu/h
No-V2X,2800pcu/h,280,146,162.57,4.04,91,0,24,2800pcu/h
No-V2X,3600pcu/h,360,184,165.36,6.74,128,0,38,3600pcu/h
